s,a,r,sp
103,1,0,0
0,1,-10,2
169,1,1,173
173,1,0,176
176,0,0,0
0,0,-10,2
103,1,0,0
0,0,-10,2
119,0,0,0
0,0,-10,2
85,1,0,0
0,1,-10,2
85,1,0,91
91,1,-1,0
0,1,-10,2
157,0,0,1
1,0,10,2
178,1,-1,182
182,1,-1,0
0,0,-10,2
170,1,1,180
180,0,1,0
0,0,-10,2
182,1,-1,175
175,0,0,0
0,0,-10,2
33,0,0,0
0,0,-10,2
181,0,1,0
0,0,-10,2
172,1,1,180
180,0,1,0
0,0,-10,2
175,1,0,178
178,1,-1,177
177,1,0,0
0,1,-10,2
158,1,0,0
0,0,-10,2
182,0,1,1
1,0,10,2
155,0,0,0
0,0,-10,2
71,0,1,0
0,0,-10,2
145,1,-1,145
145,0,1,1
1,0,10,2
178,0,1,0
0,0,-10,2
135,0,-1,1
1,0,10,2
163,1,-1,0
0,1,-10,2
85,0,0,0
0,1,-10,2
179,1,-1,0
0,1,-10,2
180,0,1,0
0,1,-10,2
29,0,0,1
1,0,10,2
181,0,1,1
1,1,10,2
178,1,-1,175
175,1,0,176
176,0,0,0
0,0,-10,2
137,0,0,0
0,1,-10,2
37,1,-1,0
0,0,-10,2
152,0,-1,1
1,1,10,2
69,1,0,0
0,0,-10,2
177,0,0,1
1,1,10,2
172,0,-1,0
0,1,-10,2
85,1,0,0
0,1,-10,2
14,1,0,0
0,0,-10,2
121,1,0,123
123,1,0,0
0,0,-10,2
53,0,1,1
1,0,10,2
97,1,1,100
100,1,1,110
110,0,1,1
1,1,10,2
37,1,-1,0
0,1,-10,2
175,1,0,180
180,0,1,1
1,0,10,2
100,1,1,103
103,0,0,0
0,0,-10,2
29,0,0,0
0,1,-10,2
108,0,1,1
1,0,10,2
176,1,0,182
182,1,-1,0
0,0,-10,2
166,0,-1,0
0,1,-10,2
161,0,1,0
0,0,-10,2
91,1,-1,91
91,1,-1,0
0,1,-10,2
97,0,-1,0
0,0,-10,2
28,1,1,35
35,1,-1,0
0,0,-10,2
10,0,-1,1
1,1,10,2
174,0,0,1
1,1,10,2
181,1,-1,182
182,0,1,1
1,1,10,2
181,1,-1,0
